Code,Level,Parent Code,Description,Source,Line Number
A128.4,2,A128,"God with one hand. Hand cut or bitten off.—*Krappe études 11ff.— Icel.: Boberg, MacCulloch Eddic 21 (Tyr); Irish myth: Cross.",,181
A128.5,2,A128,Lame god. Greek: Fox 205 (Hephaistos).,,182
A128.5.1,3,A128.5,God with thick (iron) shoe. Icel.: MacCulloch Eddic 159 (Vidarr).,,183
A131,1,,Gods with animal features. *De Visser Die nicht menschengestaltigen Götter der Griechen (Leiden 1903).—Egyptian: Müller 15ff.—Mexican: Alexander Lat. Am. 57ff.—Irish myth: Cross.,,184
A131.1,2,A131,"God as part man, part fish. Babylonian: Spence 151 (Dagon); Assyrian: ibid. 216; Jewish: Neuman.—Samoa: Beckwith Myth 76.",,185
A131.2,2,A131,"God with elephant's face. Hindu: Penzer II 99ff., 125 n. 1, 147 n. 1, 170, III 155 n. 2, V 196, VII 131, IX 1.",,186
A131.3,2,A131,Deity with animal's head.,,187
A131.3.1,3,A131.3,Deity with cat's head. Irish myth: Cross.,,188
A131.3.2,3,A131.3,Goddess with pig's head. Tonga: Beckwith Myth 178.,,189
A131.3.3,3,A131.3,"God with ram's head. (cf. A132.14). Egyptian: Müller 135, 405.—Irish myth: Cross.",,190
A131.4,2,A131,"God in tiger's skin. Hindu: Keith 81, 111; India: Thompson-Balys.",,191
A131.5,2,A131,God with goat-feet. Greek: Fox 267 (Pan).,,192
A131.6,2,A131,Horned god. Irish myth: Cross; Egyptian: Müller 38 (Hathors).,,193
A131.7,2,A131,Winged god. Jewish: Neuman.,,194
A131.8,2,A131,Goddess with pig's teeth. India: Thompson-Balys.,,195
A132,1,,"God in animal form. *De Visser Die nicht menschengestaltigen Götter der Griechen (Leiden, 1903).—Egyptian: Müller 15ff.; Chibcha: Alexander Lat. Am. 204 (fox, bear); Irish myth: Cross; India: Thompson-Balys; Chinese: *Krappe ""Far Eastern Fox Lore"" CFQ III (1944) 124ff.; Jewish: Neuman.",,196
A132.0.1,3,A132.0,God in successive animal forms. India: Thompson-Balys.,,197
A132.0.1.1,4,A132.0.1,"God takes form successively of ants, scorpion, and cobra. India: Thompson-Balys.",,198
A132.0.1.2,4,A132.0.1,"God in three forms: gecho, shark, or priest. Tonga: Beckwith Myth 128.",,199
A132.1,2,A132,"Snake-god. Smith Dragon 85.—Irish myth: Cross; Jewish: Neuman; Hindu: Penzer X 240 s.v. ""Nagas""; India: *Thompson-Balys; Chinese: Eberhard FFC CXX 139.—Fiji: Beckwith Myth 138, 316.",,200
A132.1.1,3,A132.1,Deity has snake-children. India: Thompson-Balys.,,201
A132.2,2,A132,"Monkey as god. Chinese: Werner 325ff.; Hindu: Penzer II 73, 197 n. 2, IV 126, VIII 44; India: Thompson-Balys.",,202
A132.3,2,A132,Equine god (goddess).,,203
A132.3.1,3,A132.3,Horse-god. Irish myth: Cross; Jewish: Neuman; India: Thompson- Balys.,,204
A132.3.1.1,4,A132.3.1,Mule-god. Irish myth: Cross; Jewish: Neuman.,,205
A132.3.2,3,A132.3,Horse-goddess. Irish myth: Cross.,,206
A132.3.3,3,A132.3,Ass-god. Jewish: Neuman.,,207
A132.4,2,A132,Stag-god. Irish myth: Cross.,,208
A132.5,2,A132,Bear-god (goddess). Irish myth: Cross.,,209
A132.6,2,A132,Bird deity. Irish myth: Cross.,,210
A132.6.1,3,A132.6,"Bird-god. Irish myth: Cross.—Hawaii: Beckwith Myth 91ff., 370.",,211
A132.6.2,3,A132.6,Goddess in form of bird. Irish myth: Cross.,,212
A132.6.3,3,A132.6,Cock-god. Jewish: Neuman; Hawaii: Beckwith Myth 119.,,213
A132.6.4,3,A132.6,Female deities as fly-catchers. Hawaii: Beckwith Myth 16.,,214
A132.6.5,3,A132.6,Pigeon-god. Tonga: Gifford 62.,,215
A132.7,2,A132,Swine-god. Irish myth: Cross; India: Thompson-Balys.,,216
A132.8,2,A132,Dog (wolf)-god. Irish myth: Cross; Jewish: Neuman.,,217
A132.9,2,A132,Bull-god. Irish myth: Cross.,,218
A132.9.1,3,A132.9,Cow as god. India: Thompson-Balys.,,219
A132.10,2,A132,Tiger-god. India: *Thompson-Balys.,,220
A132.11,2,A132,Seal-god. Easter Is.: Métraux Ethnology 310.,,221
A132.12,2,A132,Eel-god. Tonga: Gifford 57; Maori: Clark 163.,,222
A132.13,2,A132,"Fish-god. Tonga: Beckwith Myth 131, Gifford 79.",,223
A132.14,2,A132,Ram-god. Icel.: Boberg; Jewish: Neuman.,,224
A132.15,2,A132,God as tortoise. Chinese: Eberhard FFC CXX 139.,,225
A133,1,,Giant god. (cf. A128.2). Irish myth: Cross; India: *Thompson-Balys.,,226
A106.0,2,A106,[Missing parent entry for A106.0.1],,28
A111.3.0,3,A111.3,[Missing parent entry for A111.3.0.1],,48
A124.0,2,A124,[Missing parent entry for A124.0.1],,162
A132.0,2,A132,[Missing parent entry for A132.0.1],,197
